./data/SUES-200/Testing/300/query_drone/0133/4.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0042/0.png']
./data/SUES-200/Testing/300/query_drone/0133/29.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0104/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png']
./data/SUES-200/Testing/300/query_drone/0133/13.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
./data/SUES-200/Testing/300/query_drone/0133/2.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0147/0.png']
./data/SUES-200/Testing/300/query_drone/0133/1.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
./data/SUES-200/Testing/300/query_drone/0133/49.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0042/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png']
./data/SUES-200/Testing/300/query_drone/0133/5.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0042/0.png']
./data/SUES-200/Testing/300/query_drone/0133/12.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png']
./data/SUES-200/Testing/300/query_drone/0133/9.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0165/0.png', './data/SUES-200/Testing/300/gallery_satellite/0147/0.png']
./data/SUES-200/Testing/300/query_drone/0133/45.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0122/0.png', './data/SUES-200/Testing/300/gallery_satellite/0046/0.png']
./data/SUES-200/Testing/300/query_drone/0133/3.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png', './data/SUES-200/Testing/300/gallery_satellite/0068/0.png']
./data/SUES-200/Testing/300/query_drone/0133/6.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0147/0.png', './data/SUES-200/Testing/300/gallery_satellite/0110/0.png']
./data/SUES-200/Testing/300/query_drone/0133/46.jpg ['./data/SUES-200/Testing/300/gallery_satellite/0075/0.png', './data/SUES-200/Testing/300/gallery_satellite/0133/0.png', './data/SUES-200/Testing/300/gallery_satellite/0180/0.png', './data/SUES-200/Testing/300/gallery_satellite/0178/0.png', './data/SUES-200/Testing/300/gallery_satellite/0141/0.png', './data/SUES-200/Testing/300/gallery_satellite/0188/0.png', './data/SUES-200/Testing/300/gallery_satellite/0105/0.png', './data/SUES-200/Testing/300/gallery_satellite/0184/0.png', './data/SUES-200/Testing/300/gallery_satellite/0122/0.png', './data/SUES-200/Testing/300/gallery_satellite/0097/0.png']
